1408,423,45,539
194,1274,877,525
1457,275,964,681
229,1165,740,1311
1085,637,77,444
1341,71,541,929
1050,283,384,1485
1091,137,303,866
1313,849,301,202
120,1131,782,313
918,723,590,717
1230,223,828,1289
253,1413,499,471
171,1309,365,1322
309,705,1364,885
1210,1352,575,519
1338,362,391,938
687,351,936,282
967,2,379,627
1270,851,410,669
1154,1285,850,479
448,760,923,55
512,344,372,152
1414,863,468,313
703,697,100,522
286,1242,959,1352
558,1220,519,1014
1468,789,1441,265
1319,641,507,741
767,1117,652,1113
606,636,1191,1199
473,511,1161,804
1016,295,374,1420
929,345,1139,1229
42,874,499,343
723,92,278,1206
901,1288,469,878
588,680,785,1429
1413,529,885,727
699,1096,933,1327
271,409,916,387
55,250,1055,968
779,58,937,1182
1485,664,893,997
400,18,1486,766
1471,223,925,2
731,312,106,751
847,1386,1443,1397
1201,176,644,1277
448,1059,598,1469
1114,100,125,858
1442,447,367,1319
973,1103,306,81
559,1078,1137,85
664,674,59,572
361,323,1452,1065
849,571,1324,1480
688,235,636,915
553,1456,576,682
1468,348,597,963
268,836,416,681
1481,297,1422,1246
1252,672,1216,933
437,338,984,910
34,472,982,537
480,506,248,1103
1293,677,831,492
1322,964,717,399
1267,565,522,21
996,1026,1283,596
973,973,810,114
1436,395,1010,1017
1345,1389,450,7
118,537,625,582
1177,35,1299,524
277,1469,593,812
657,209,1288,64
1330,1017,368,24
801,1286,974,1083
1276,948,187,519
858,105,64,1216
456,177,1127,350
870,634,270,434
306,636,997,1288
529,929,1362,1274
981,628,815,791
1082,382,1490,976
932,141,671,1447
942,1217,1001,1393
732,79,204,992
1367,1489,380,1044
974,1382,391,260
8,857,620,1200
1170,317,559,473
740,1152,508,1193
1467,1422,243,656
1070,153,191,1161
795,382,498,426
939,205,1078,1387
911,1110,962,619
1002,444,815,1343
1334,718,208,484
1294,770,952,1269
169,73,1226,53
137,633,771,338
345,297,847,1182
448,365,1339,3
883,91,1446,975
571,1250,591,768
870,665,1365,892
1370,1229,785,1131
851,724,1131,1030
193,363,1020,1303
1202,279,787,1250
1129,1421,472,1452
1225,266,599,1478
644,1361,363,1465
1057,913,958,567
919,490,248,1018
318,223,1257,1325
342,1439,370,1159
43,121,844,614
1192,510,99,444
256,918,1195,112
795,480,1253,44
1345,1316,1188,1168
1075,118,1285,1467
97,1347,1264,619
1444,233,827,1273
339,802,486,207
703,172,395,756
656,201,482,513
105,163,1259,458
604,38,16,316
80,1148,451,1255
1408,361,1112,806
862,661,1072,897
1434,1477,919,980
764,18,828,1373
1194,771,958,31
1349,73,730,130
1000,731,1081,294
324,931,583,435
1285,1259,421,423
86,1347,529,299
1244,744,920,973
512,798,421,1346
705,370,1148,1173
894,208,714,456
631,309,376,1054
432,534,1172,346
1057,1238,1128,135
415,420,1090,1294
1311,1240,1449,55
349,1094,7,328
1438,1290,467,1474
649,731,736,595
378,225,779,485
940,1283,580,1194
1102,1228,1033,417
1217,1106,1304,1072
941,1023,204,257
551,1266,327,265
1246,1157,170,148
1159,351,1137,1239
580,888,15,201
567,1306,770,931
303,578,787,243
271,443,84,881
51,264,677,1020
136,600,218,324
1186,1411,256,1464
342,163,102,997
519,1493,1131,1247
372,376,1296,279
249,1169,1276,357
336,1328,541,1254
1097,348,1415,75
1021,1346,385,596
1267,1433,1033,1444
1180,237,1113,25
1405,435,736,634
817,1318,1261,1245
789,907,699,1487
1334,199,1413,895
451,834,355,1491
29,1047,252,977
1411,1138,919,881
747,1466,765,176
332,222,8,514
945,1450,771,249
333,496,527,107
313,682,268,1306
787,1053,878,696
1422,1123,647,265
996,114,1099,1447
44,495,1367,505
220,1227,1500,514
442,799,149,733
1418,1094,484,492
611,690,701,420
1236,329,926,581
816,819,773,373
1220,1193,1493,852
108,693,1059,267
918,1062,1268,1241
223,389,1219,136
1219,987,906,706
317,23,371,632
530,930,1407,25
1053,565,1020,906
1355,857,590,826
696,836,445,1494
923,311,767,176
74,1147,760,1350
1188,1077,360,96
1151,40,1498,1149
816,1328,378,1484
1459,1459,751,1183
97,402,410,93
30,930,1359,1372
811,1409,1120,181
1236,1459,328,573
90,921,1410,1080
549,475,20,678
788,1323,877,1425
1119,333,1080,915
529,868,33,233
777,1276,1431,1264
526,1384,190,470
481,277,386,19
649,1249,1272,839
318,931,164,1342
300,28,497,314
1038,1333,3,1149
508,710,173,887
1155,1404,640,906
251,272,649,386
1344,57,402,404
1344,1448,243,206
333,1420,631,145
356,918,273,1020
1222,69,850,1143
62,1355,966,1222
740,596,124,1158
739,738,553,497
957,170,1467,301
1431,1347,806,562
1303,1184,707,834
1244,726,1346,607
1236,624,299,391
584,513,1140,1130
521,1153,1220,679
1319,251,1227,446
1062,1163,1463,1211
256,747,907,342
1443,842,874,320
846,68,981,763
392,1375,1007,1498
414,359,487,388
876,557,1192,64
345,811,1469,807
727,870,242,457
677,601,1322,1015
1466,140,87,304
631,1125,1127,330
238,335,254,1188
799,822,1362,380
240,423,1179,1462
311,1077,56,850
85,1446,553,707
1488,758,708,22
632,43,381,1421
1482,258,69,782
551,1321,163,1158
568,884,485,301
966,384,742,173
377,915,888,5
641,987,111,1343
815,611,330,1211
1211,1238,443,538
332,1126,560,946
142,293,552,1351
1330,35,69,1211
422,1203,516,781
1305,930,361,404
280,1382,253,596
1265,462,719,1455
1270,1388,1182,1082
189,500,4,946
1385,718,1047,1072
1454,445,390,518
1010,1229,194,1014
29,710,962,1490
1345,894,162,380
1323,409,344,671
987,384,552,25
1189,682,441,1477
1070,580,265,1301
37,1488,655,1022
202,60,1379,1415
654,207,129,1227
787,905,432,1070
397,41,288,112
1384,644,790,1453
444,377,1060,367
685,682,1058,362
952,405,1174,1138
292,1495,1127,253
508,1367,788,1336
1279,391,1171,206
151,1174,775,413
1473,1068,886,1
287,789,857,107
759,610,247,1019
630,514,157,730
477,440,929,1367
1023,421,1225,997
1465,524,434,275
926,289,657,1147
300,794,419,1454
1199,253,691,802
724,826,86,774
750,1411,741,770
926,1050,166,179
592,576,1386,961
972,170,827,424
357,8,404,665
1409,1192,1474,124
1279,471,1318,383
860,1376,106,638
1486,719,922,694
160,571,1135,669
307,352,504,636
1022,56,930,321
409,476,1222,439
556,320,1103,1011
235,1446,941,831
1349,924,81,1171
1185,135,1477,354
501,665,1425,959
434,872,36,1422
705,922,973,460
1047,682,1357,614
63,374,688,1484
921,627,65,709
347,1207,36,594
1183,1287,1338,1005
545,1344,286,715
612,1498,1382,801
792,347,608,1367
519,671,1263,525
1421,895,589,693
824,1391,980,639
676,876,764,1355
1274,651,759,60
721,213,1303,942
127,1115,882,1015
1310,1126,247,936
213,979,761,503
574,591,645,664
59,778,657,292
949,868,47,704
452,1268,756,614
749,1425,1074,595
510,1284,157,335
661,1075,1048,573
373,722,81,419
1486,132,1255,1090
910,683,515,582
859,673,1155,964
1293,451,1457,1018
1425,968,1306,453
675,66,726,339
1352,1025,84,1173
1336,1299,736,1412
947,1023,280,589
961,1160,1322,834
619,1104,47,1067
308,734,57,71
1500,670,1023,74
926,1249,1228,337
995,1105,1100,695
704,1134,422,250
391,177,1310,1020
1252,494,745,339
231,558,1496,701
270,439,537,883
428,996,304,707
1356,585,1378,917
877,821,1377,58
713,247,1235,1331
51,328,790,1230
407,42,792,598
890,895,760,1323
666,1180,189,1024
1413,1233,1042,1389
1196,269,1147,1394
1096,854,43,1033
453,400,1129,993
0,793,57,635
1005,124,507,251
602,882,597,412
405,1340,142,297
110,622,146,283
416,510,411,1305
1059,1473,1264,578
851,941,819,1333
1224,776,500,896
555,1157,186,840
432,421,169,408
1061,1474,488,569
607,341,908,150
1149,502,939,1337
1344,139,829,777
368,235,16,420
835,356,18,572
317,1021,1419,1228
1339,649,338,535
544,740,853,337
227,1225,357,1476
409,864,324,128
1377,1427,1398,59
189,119,613,211
1194,1304,847,759
771,137,1040,553
306,430,666,456
598,136,1023,0
1234,1347,1045,1155
318,1225,461,163
1455,210,664,124
1051,1097,1266,787
312,1075,481,1314
975,277,995,905
185,706,1140,410
851,1352,553,971
701,887,1125,352
1138,1279,132,561
772,1452,426,1032
1389,1222,1167,681
41,456,1038,605
860,474,902,1252
847,1392,774,243
751,756,627,1340
1032,1144,818,1286
936,433,1202,158
948,196,29,288
934,349,262,1145
869,88,473,142
592,560,1181,825
278,1287,1380,1053
1449,1163,296,273
1092,243,939,1180
678,1163,587,329
615,1444,56,409
1353,1204,1326,378
284,652,1198,895
923,766,597,220
726,565,902,515
555,140,74,62
505,699,1042,1145
1121,119,987,1000
921,827,717,73
483,990,238,130
1483,1147,1355,1014
275,171,157,354
1317,1028,16,34
1106,90,1325,258
502,597,730,634
304,820,739,1333
1469,118,393,208
1041,1174,1423,1438
1465,357,0,1131
63,164,350,969
989,1435,63,987
328,1221,560,205
1306,1222,1111,1391
1035,138,1413,1343
1178,342,1143,1145
1241,459,899,882
528,1323,1181,1387
78,390,808,264
1274,256,32,639
359,638,1308,410
1289,907,470,153
1315,191,950,342
280,1229,1284,1086
1097,1012,1387,541
1032,218,633,1472
525,406,1342,685
1022,552,245,981
175,1442,339,436
1469,754,1437,1171
951,149,465,1207
75,547,674,1399
1427,1093,413,48
834,699,836,106
1411,486,443,39
518,1443,71,1264
1189,1258,285,1075
1443,1012,1186,982
1339,1076,134,1037
1166,795,1491,263
1452,325,524,389
359,1130,1308,683
863,1418,1347,1210
598,873,1016,289
1404,623,556,709
476,1013,491,1119
639,269,410,1410
418,24,252,157
1432,1447,1432,142
464,560,606,1288
939,745,545,53
546,8,24,1433
724,1194,1298,1437
795,109,259,356
1222,25,132,825
350,10,449,206
894,1417,211,1406
788,1046,965,780
313,753,1102,932
488,350,966,1284
209,227,329,82
1231,1471,1303,1402
19,298,1248,77
916,1443,1410,801
63,82,1331,736
1025,925,134,412
219,1303,1055,519
413,476,1430,1305
774,118,446,145
1464,1489,1216,111
1052,497,529,1198
996,990,78,1408
1011,87,1006,1365
557,987,384,186
233,666,1252,1252
177,1345,574,439
741,1188,6,678
915,129,1041,1393
1026,1188,441,703
1468,807,651,699
1422,304,332,42
643,685,306,348
448,232,137,1357
729,913,806,1092
1238,149,328,377
423,1227,386,349
395,282,70,1360
528,945,904,142
625,1032,338,1419
293,308,415,4
756,1131,1011,1494
437,577,734,443
950,1338,558,568
1142,1496,820,1205
1471,457,640,823
1406,636,423,397
1142,900,1361,276
1077,967,724,129
1500,696,1246,493
808,972,1277,1430
860,974,655,330
387,1319,234,1291
1148,1181,645,518
585,640,691,263
376,435,642,400
1316,132,529,758
893,1140,1475,1468
870,222,982,848
308,555,1475,503
203,217,373,210
684,950,1458,667
790,1496,807,423
1317,1198,1018,733
780,908,1115,1069
1132,354,304,959
546,1265,832,112
261,920,666,478
214,51,1164,1307
891,973,912,1268
405,100,416,668
167,338,1132,49
18,622,163,407
899,652,1135,264
314,1397,711,352
1310,835,1061,737
1294,1061,1376,1096
389,1242,1423,1171
615,1034,1500,600
312,456,783,617
726,1467,949,244
1405,1116,468,1121
1332,970,764,169
934,822,724,1311
718,1445,898,752
1396,1424,247,1183
484,367,1072,256
585,1463,836,603
502,481,1129,974
121,89,656,520
51,1219,190,1325
674,898,341,1145
829,2,1345,824
437,1061,828,1153
1204,102,1361,1277
1171,82,649,461
326,1475,880,735
411,1040,407,666
689,1350,1110,435
1424,522,617,337
971,1211,1062,550
505,1209,788,1388
0,821,699,1238
496,928,708,1153
1374,761,564,902
1447,385,255,58
989,1388,1293,717
750,655,45,58
437,1399,1266,233
163,634,885,669
59,1373,913,32
810,1110,118,456
183,979,732,711
1254,1163,936,779
1192,314,1088,1141
628,337,823,292
993,76,83,2
371,1123,1300,444
1355,1252,864,1495
1222,357,406,1131
977,1408,752,40
1101,757,585,194
183,1165,215,1088
446,1170,699,347
786,506,199,193
47,1204,1226,66
541,1233,201,957
1188,1353,232,578
281,426,1472,1151
480,596,815,1153
1007,217,509,655
1438,1221,54,473
1427,385,231,818
1235,914,287,1131
1493,333,555,366
311,733,971,784
1023,323,1036,657
311,457,664,355
99,817,1175,1289
409,1098,1227,829
569,625,692,695
1229,1185,1463,712
480,1131,664,1175
373,42,743,984
500,1189,6,58
1087,1332,300,127
479,5,1222,94
497,1005,1026,165
822,1118,1390,525
980,726,755,1324
1444,1205,316,1118
116,941,1386,995
1126,453,1436,504
986,752,581,568
440,1142,191,291
920,53,867,329
907,1034,1088,133
753,1173,783,179
367,1487,1009,1101
1027,8,618,572
926,16,1028,279
731,394,179,17
37,741,1381,872
753,1396,332,1360
736,1379,1396,252
5,1122,1400,1293
